depth,n,accuracy,precision,recall,f1,tp,fp,tn,fn,consensus_rate,avg_revisions
0,168,0.6845238095238095,0.5315315315315315,0.9833333333333333,0.6900584795321637,59,52,56,1,0.05952380952380952,0.0
1,167,0.5209580838323353,0.42105263157894735,0.9491525423728814,0.5833333333333334,56,77,31,3,0.5269461077844312,0.6047904191616766
2,168,0.5059523809523809,0.4108527131782946,0.8833333333333333,0.5608465608465608,53,76,32,7,0.5654761904761905,0.9345238095238095
3,168,0.4880952380952381,0.3968253968253968,0.8333333333333334,0.5376344086021505,50,76,32,10,0.5714285714285714,1.2142857142857142
4,165,0.46060606060606063,0.3787878787878788,0.8771929824561403,0.5291005291005291,50,82,26,7,0.5878787878787879,1.5333333333333334
5,163,0.4233128834355828,0.3333333333333333,0.7090909090909091,0.45348837209302323,39,78,30,16,0.6073619631901841,1.7423312883435582
6,166,0.4939759036144578,0.3951612903225806,0.8448275862068966,0.5384615384615384,49,75,33,9,0.6867469879518072,1.7409638554216869
7,166,0.46987951807228917,0.3584905660377358,0.6551724137931034,0.4634146341463415,38,68,40,20,0.6927710843373494,1.9156626506024097
8,163,0.4294478527607362,0.33620689655172414,0.7090909090909091,0.45614035087719296,39,77,31,16,0.7116564417177914,1.7791411042944785
9,166,0.4397590361445783,0.34782608695652173,0.6896551724137931,0.4624277456647399,40,75,33,18,0.6927710843373494,2.1686746987951806
10,165,0.4484848484848485,0.35344827586206895,0.7192982456140351,0.47398843930635837,41,75,33,16,0.7151515151515152,2.090909090909091
